Date,Country,City,Sessions,Users,Pageviews,BounceRate,AvgSessionDuration,Source,Medium,Device,Browser
2025-05-04,South Africa,Cape Town,988,739,1553,0.65,235,tiktok,organic,Desktop,Opera
2025-05-04,USA,New York,715,282,1618,0.59,134,facebook,social,Tablet,Opera
2025-05-04,France,Paris,564,847,1675,0.47,155,linkedin,organic,Tablet,Chrome
2025-05-04,Canada,Toronto,362,270,2156,0.42,136,direct,organic,Desktop,Chrome
2025-05-04,Australia,Sydney,501,524,2408,0.57,216,tiktok,cpc,Desktop,Chrome
2025-05-04,Brazil,São Paulo,453,786,1294,0.44,242,google,organic,Tablet,Edge
2025-05-04,India,Mumbai,413,506,1342,0.56,283,linkedin,email,Tablet,Safari
2025-05-04,South Africa,Cape Town,867,683,2407,0.66,156,instagram,email,Tablet,Safari
2025-05-04,India,Mumbai,394,273,1159,0.4,204,email,organic,Desktop,Brave
2025-05-04,Brazil,São Paulo,581,675,1883,0.49,213,tiktok,cpc,Mobile,Safari
2025-05-03,France,Paris,394,631,1338,0.54,237,email,cpc,Desktop,Firefox
2025-05-03,UK,London,482,269,1390,0.59,275,direct,referral,Desktop,Edge
2025-05-03,South Africa,Cape Town,341,360,2883,0.53,62,google,cpc,Desktop,Brave
2025-05-03,Canada,Toronto,637,279,1490,0.57,202,facebook,organic,Tablet,Edge
2025-05-03,Brazil,São Paulo,537,361,2656,0.52,204,linkedin,organic,Desktop,Chrome
2025-05-03,Australia,Sydney,472,774,2500,0.46,176,google,cpc,Tablet,Safari
2025-05-03,Australia,Sydney,709,551,2307,0.52,154,direct,organic,Desktop,Chrome
2025-05-03,Brazil,São Paulo,525,275,2232,0.58,215,tiktok,cpc,Mobile,Edge
2025-05-03,Brazil,São Paulo,792,577,2685,0.47,150,instagram,cpc,Mobile,Firefox
2025-05-03,UK,London,652,505,2008,0.34,207,facebook,cpc,Mobile,Safari
2025-05-02,USA,New York,330,773,1340,0.63,284,direct,cpc,Mobile,Brave
2025-05-02,South Africa,Cape Town,487,465,2805,0.59,89,instagram,cpc,Desktop,Chrome
2025-05-02,USA,New York,591,257,1147,0.4,76,tiktok,referral,Mobile,Opera
2025-05-02,USA,Los Angeles,907,693,2094,0.34,182,email,cpc,Desktop,Chrome
2025-05-02,India,Mumbai,305,718,2520,0.57,99,direct,email,Tablet,Safari
2025-05-02,Australia,Sydney,675,500,1404,0.68,300,email,cpc,Mobile,Brave
2025-05-02,France,Paris,371,435,1453,0.51,201,direct,referral,Desktop,Chrome
2025-05-02,France,Paris,578,518,2722,0.4,146,facebook,referral,Desktop,Safari
2025-05-02,South Africa,Cape Town,904,309,1249,0.46,99,facebook,referral,Tablet,Firefox
2025-05-02,South Africa,Cape Town,767,731,1379,0.51,239,email,organic,Tablet,Edge
2025-05-01,South Africa,Cape Town,964,509,2279,0.55,163,email,organic,Tablet,Safari
2025-05-01,UK,London,563,371,2315,0.45,172,direct,social,Mobile,Safari
2025-05-01,Australia,Sydney,618,527,1522,0.55,96,facebook,email,Tablet,Opera
2025-05-01,Brazil,São Paulo,448,736,1214,0.56,273,direct,social,Desktop,Opera
2025-05-01,USA,New York,407,312,1420,0.41,167,facebook,social,Desktop,Firefox
2025-05-01,India,Mumbai,819,818,2865,0.38,214,direct,social,Desktop,Safari
2025-05-01,France,Paris,413,780,2044,0.69,242,email,email,Tablet,Opera
2025-05-01,UK,London,578,383,2430,0.35,235,direct,social,Desktop,Chrome
2025-05-01,USA,New York,327,332,2348,0.53,122,tiktok,social,Desktop,Safari
2025-05-01,USA,New York,435,900,2048,0.51,63,linkedin,cpc,Mobile,Edge
2025-04-30,France,Paris,988,619,2765,0.58,256,google,organic,Mobile,Edge
2025-04-30,USA,New York,837,264,2288,0.47,188,email,cpc,Desktop,Opera
2025-04-30,Australia,Sydney,655,729,1667,0.68,243,tiktok,organic,Desktop,Firefox
2025-04-30,Brazil,São Paulo,995,888,2647,0.59,218,instagram,cpc,Desktop,Chrome
2025-04-30,USA,New York,627,380,2217,0.49,135,linkedin,organic,Desktop,Chrome
2025-04-30,USA,Los Angeles,645,397,2707,0.34,269,facebook,referral,Mobile,Edge
2025-04-30,South Africa,Cape Town,840,515,2118,0.67,251,email,referral,Tablet,Brave
2025-04-30,Australia,Sydney,641,523,2715,0.44,121,tiktok,organic,Mobile,Firefox
2025-04-30,Brazil,São Paulo,375,286,1470,0.54,270,facebook,referral,Tablet,Firefox
2025-04-30,Australia,Sydney,378,301,2697,0.41,128,email,organic,Tablet,Chrome
2025-04-29,South Africa,Cape Town,880,415,1161,0.66,141,instagram,social,Tablet,Edge
2025-04-29,Australia,Sydney,794,622,1649,0.7,177,linkedin,social,Tablet,Chrome
2025-04-29,South Africa,Cape Town,385,768,1533,0.31,80,google,email,Desktop,Chrome
2025-04-29,Canada,Toronto,610,510,1354,0.35,274,google,organic,Tablet,Safari
2025-04-29,Canada,Toronto,833,333,1319,0.7,138,instagram,cpc,Tablet,Safari
2025-04-29,France,Paris,686,408,1662,0.61,228,instagram,cpc,Tablet,Opera
2025-04-29,Brazil,São Paulo,391,434,2446,0.32,293,direct,social,Tablet,Chrome
2025-04-29,Germany,Berlin,915,537,1315,0.34,292,instagram,referral,Mobile,Firefox
2025-04-29,UK,London,432,458,1666,0.48,69,linkedin,referral,Desktop,Chrome
2025-04-29,South Africa,Cape Town,936,539,1406,0.57,218,facebook,email,Desktop,Chrome
