Date,Channel,Campaign Name,Ad Set Name,Ad Name,CPC,Spend,Impressions,Clicks,Conversions,Reach
2024-07-21,Google,Retargeting,Set D,Ad 4,0.88,116.44,4747,586,58,3188
2024-07-21,Facebook,Brand Awareness,Set B,Ad 4,0.88,244.84,5852,244,82,6304
2024-07-21,LinkedIn,Brand Awareness,Set D,Ad 2,0.75,285.65,14515,431,13,1487
2024-07-21,TikTok,Retargeting,Set A,Ad 2,1.36,89.29,8888,268,87,11166
2024-07-21,Instagram,Summer Promo,Set C,Ad 3,0.98,90.43,2470,105,44,4551
2024-07-21,X,Brand Awareness,Set A,Ad 1,0.77,149.96,6593,575,55,5383
2024-07-21,Google Organic,Brand Awareness,Set D,Ad 3,1.25,35.89,1250,179,45,6703
2024-07-22,Google,Holiday Sale,Set C,Ad 2,1.72,48.23,6729,151,49,1575
2024-07-22,Facebook,Holiday Sale,Set C,Ad 2,1.19,262.55,8859,226,96,7960
2024-07-22,LinkedIn,Retargeting,Set C,Ad 5,1.95,37.81,2797,454,93,8191
2024-07-22,TikTok,Back to School,Set B,Ad 3,1.06,127.55,1841,290,11,1402
2024-07-22,Instagram,Retargeting,Set B,Ad 2,0.65,57.83,13955,432,27,5155
2024-07-22,X,Holiday Sale,Set C,Ad 5,0.7,67.09,2222,425,78,6093
2024-07-22,Google Organic,Summer Promo,Set A,Ad 3,1.25,66.12,13747,537,29,2852
2024-07-23,Google,Back to School,Set C,Ad 1,1.6,33.4,4740,395,80,2605
2024-07-23,Facebook,Brand Awareness,Set D,Ad 2,1.76,101.63,2142,600,76,10838
2024-07-23,LinkedIn,Retargeting,Set D,Ad 3,0.97,148.61,8414,251,79,6558
2024-07-23,TikTok,Back to School,Set B,Ad 5,1.8,141.15,8801,306,43,4673
2024-07-23,Instagram,Retargeting,Set C,Ad 1,0.86,53.26,2632,536,58,7802
2024-07-23,X,Retargeting,Set D,Ad 3,1.24,249.3,2849,465,55,11040
2024-07-23,Google Organic,Back to School,Set D,Ad 5,1.88,101.19,5899,517,34,10450
2024-07-24,Google,Summer Promo,Set A,Ad 5,0.73,296.37,1313,316,90,3989
2024-07-24,Facebook,Retargeting,Set B,Ad 2,1.85,80.98,13087,560,40,2884
2024-07-24,LinkedIn,Summer Promo,Set B,Ad 3,1.35,144.66,10811,59,12,4716
2024-07-24,TikTok,Brand Awareness,Set A,Ad 4,1.51,171.11,10102,594,81,9261
2024-07-24,Instagram,Summer Promo,Set B,Ad 2,1.69,69.4,10936,169,70,2863
2024-07-24,X,Back to School,Set B,Ad 3,1.69,24.01,2521,219,94,3733
2024-07-24,Google Organic,Holiday Sale,Set B,Ad 1,1.9,286.01,11147,347,35,9585
2024-07-25,Google,Back to School,Set A,Ad 5,1.79,49.59,7480,124,62,10117
2024-07-25,Facebook,Summer Promo,Set A,Ad 3,0.65,179.96,12897,303,59,3518
2024-07-25,LinkedIn,Holiday Sale,Set D,Ad 1,0.51,273.66,1685,298,8,672
2024-07-25,TikTok,Retargeting,Set D,Ad 1,1.05,173.74,14576,116,20,4847
2024-07-25,Instagram,Back to School,Set D,Ad 2,1.88,111.42,7111,286,58,6208
2024-07-25,X,Brand Awareness,Set D,Ad 4,0.81,137.74,9451,210,23,9327
2024-07-25,Google Organic,Summer Promo,Set A,Ad 1,1.38,61.94,7302,358,19,6162
2024-07-26,Google,Summer Promo,Set C,Ad 4,1.55,265.03,8378,206,29,6430
